[0704/103319:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/105605:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/113642:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/122359:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/125325:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/125333:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/151345:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/155336:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/162624:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/190229:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/100800:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/103655:ERROR:file_io.cc(30)] read: expected 4, observed 0
